reading	word	google_pos	microsoft_pos	atok_pos	origin	source_url	note
むらさきしきぶ	紫式部	人名	人名	人名	added	https://tokotabi.wixsite.com/local/%E7%A6%8F%E4%BA%95%E7%9C%8C-1	
いまだてたくみ	今立たくみ	人名	人名	人名	added	https://www.city.echizen.lg.jp/office/030/011/vtuber2.html	公式ローマ字表記から読みを転記
こくふやまと	国府やまと	人名	人名	人名	added	https://www.city.echizen.lg.jp/office/030/011/vtuber2.html	公式ローマ字表記から読みを転記
あるねてぃな	歩音ティナ	人名	人名	人名	added	https://prtimes.jp/main/html/rd/p/000000009.000115621.html	
みやさとひまわり	宮里ひまわり	人名	人名	人名	added	https://tokotabi.wixsite.com/local/%E7%A6%8F%E4%BA%95%E7%9C%8C-1	公式サイト https://himawari2023m.wixsite.com/miyasato0714
さかいほやまる	坂井ほや丸	人名	人名	人名	added	https://www.city.fukui-sakai.lg.jp/iju/chara.html	公式SNSのsakai_hoyamaru表記も参照
ひびきえめもりー	響絵想	人名	人名	人名	added	https://www.city.fukui-sakai.lg.jp/iju/documents/memory.html	正しい読みを追加。原版のひびきめもりーは互換用に保持
こしのみゃこ	越乃みゃこ	人名	人名	人名	added	https://tokotabi.wixsite.com/local/%E7%A6%8F%E4%BA%95%E7%9C%8C-1	公式サイト https://koshinomiyako.jp/community_channel/vtuber_koshino_myaco/
ときかぜりん	時風リン	人名	人名	人名	added	https://www.f-keirin.jp/article/177	
ゆめぐりごんぞう	湯巡権三	人名	人名	人名	added	https://prtimes.jp/main/html/rd/p/000000268.000055664.html	
にしやまちゃちゃまる	西山ちゃちゃ丸	人名	人名	人名	added	https://www.city.sabae.fukui.jp/about_city/koho_kocho/oshirase/Shuyaku5080710.html	暫定読み。名称は市公式確認済み、公式振り仮名未確認
せいしょうなごん	斉唱なごん	人名	人名	人名	added	https://tokotabi.wixsite.com/local/%E7%A6%8F%E4%BA%95%E7%9C%8C-1	
かりちわ	カリチワ	人名	人名	人名	added	https://tokotabi.wixsite.com/local/%E7%A6%8F%E4%BA%95%E7%9C%8C-1	
しろがさはろ	白暈ハロ	人名	人名	人名	added	https://glow-hakumei.com/students/	
ひのくいかくれ	灯喰カクレ	人名	人名	人名	added	https://glow-hakumei.com/students/	
ゆみはりしあ	絃月シア	人名	人名	人名	added	https://glow-hakumei.com/students/	
やみなりらいあ	矢神鳴雷亜	人名	人名	人名	added	https://glow-hakumei.com/students/	
あまなきしぐれ	天泣しぐれ	人名	人名	人名	added	https://glow-hakumei.com/students/	
あやいとゆう	綾糸ユウ	人名	人名	人名	added	https://glow-hakumei.com/students/	読みの姓名間の空白を除去
しきぶ	紫式部	人名	人名	人名	added	https://tokotabi.wixsite.com/local/%E7%A6%8F%E4%BA%95%E7%9C%8C-1	下の名前・短縮読みからフルネームへ変換
たくみ	今立たくみ	人名	人名	人名	added	https://www.city.echizen.lg.jp/office/030/011/vtuber2.html	下の名前・短縮読みからフルネームへ変換
やまと	国府やまと	人名	人名	人名	added	https://www.city.echizen.lg.jp/office/030/011/vtuber2.html	下の名前・短縮読みからフルネームへ変換
てぃな	歩音ティナ	人名	人名	人名	added	https://prtimes.jp/main/html/rd/p/000000009.000115621.html	下の名前・短縮読みからフルネームへ変換
ひまわり	宮里ひまわり	人名	人名	人名	added	https://tokotabi.wixsite.com/local/%E7%A6%8F%E4%BA%95%E7%9C%8C-1	下の名前・短縮読みからフルネームへ変換
ほやまる	坂井ほや丸	人名	人名	人名	added	https://www.city.fukui-sakai.lg.jp/iju/chara.html	下の名前・短縮読みからフルネームへ変換
みゃこ	越乃みゃこ	人名	人名	人名	added	https://tokotabi.wixsite.com/local/%E7%A6%8F%E4%BA%95%E7%9C%8C-1	下の名前・短縮読みからフルネームへ変換
りん	時風リン	人名	人名	人名	added	https://www.f-keirin.jp/article/177	下の名前・短縮読みからフルネームへ変換
ごんぞう	湯巡権三	人名	人名	人名	added	https://prtimes.jp/main/html/rd/p/000000268.000055664.html	下の名前・短縮読みからフルネームへ変換
ちゃちゃまる	西山ちゃちゃ丸	人名	人名	人名	added	https://www.city.sabae.fukui.jp/about_city/koho_kocho/oshirase/Shuyaku5080710.html	下の名前・短縮読みからフルネームへ変換。暫定読み（公式振り仮名未確認）
なごん	斉唱なごん	人名	人名	人名	added	https://tokotabi.wixsite.com/local/%E7%A6%8F%E4%BA%95%E7%9C%8C-1	下の名前・短縮読みからフルネームへ変換
はろ	白暈ハロ	人名	人名	人名	added	https://glow-hakumei.com/students/	下の名前・短縮読みからフルネームへ変換
かくれ	灯喰カクレ	人名	人名	人名	added	https://glow-hakumei.com/students/	下の名前・短縮読みからフルネームへ変換
しあ	絃月シア	人名	人名	人名	added	https://glow-hakumei.com/students/	下の名前・短縮読みからフルネームへ変換
らいあ	矢神鳴雷亜	人名	人名	人名	added	https://glow-hakumei.com/students/	下の名前・短縮読みからフルネームへ変換
しぐれ	天泣しぐれ	人名	人名	人名	added	https://glow-hakumei.com/students/	下の名前・短縮読みからフルネームへ変換
ゆう	綾糸ユウ	人名	人名	人名	added	https://glow-hakumei.com/students/	下の名前・短縮読みからフルネームへ変換
