date	change	reading	word
2026-09-21	追加	むらさきしきぶ	紫式部
2026-09-21	追加	いまだてたくみ	今立たくみ
2026-09-21	追加	こくふやまと	国府やまと
2026-09-21	追加	あるねてぃな	歩音ティナ
2026-09-21	追加	みやさとひまわり	宮里ひまわり
2026-09-21	追加	さかいほやまる	坂井ほや丸
2026-09-21	追加	ひびきえめもりー	響絵想
2026-09-21	追加	こしのみゃこ	越乃みゃこ
2026-09-21	追加	ときかぜりん	時風リン
2026-09-21	追加	ゆめぐりごんぞう	湯巡権三
2026-09-21	追加	にしやまちゃちゃまる	西山ちゃちゃ丸
2026-09-21	追加	せいしょうなごん	斉唱なごん
2026-09-21	追加	かりちわ	カリチワ
2026-09-21	追加	しろがさはろ	白暈ハロ
2026-09-21	追加	ひのくいかくれ	灯喰カクレ
2026-09-21	追加	ゆみはりしあ	絃月シア
2026-09-21	追加	やみなりらいあ	矢神鳴雷亜
2026-09-21	追加	あまなきしぐれ	天泣しぐれ
2026-09-21	追加	あやいとゆう	綾糸ユウ
2026-09-21	追加	しきぶ	紫式部
2026-09-21	追加	たくみ	今立たくみ
2026-09-21	追加	やまと	国府やまと
2026-09-21	追加	てぃな	歩音ティナ
2026-09-21	追加	ひまわり	宮里ひまわり
2026-09-21	追加	ほやまる	坂井ほや丸
2026-09-21	追加	みゃこ	越乃みゃこ
2026-09-21	追加	りん	時風リン
2026-09-21	追加	ごんぞう	湯巡権三
2026-09-21	追加	ちゃちゃまる	西山ちゃちゃ丸
2026-09-21	追加	なごん	斉唱なごん
2026-09-21	追加	はろ	白暈ハロ
2026-09-21	追加	かくれ	灯喰カクレ
2026-09-21	追加	しあ	絃月シア
2026-09-21	追加	らいあ	矢神鳴雷亜
2026-09-21	追加	しぐれ	天泣しぐれ
2026-09-21	追加	ゆう	綾糸ユウ
