reading	word	google_pos	microsoft_pos	atok_pos	origin	source_url	note	added_on
どっとらいぶ	.LIVE	名詞	名詞	名詞	upstream			
しらは	４ra８	人名	人名	人名	upstream			
あでぃあ	Aadya	人名	人名	人名	upstream			
あくてぃべーと	Activ8	人名	人名	人名	upstream			
あいああまれ	AiaAmare	人名	人名	人名	upstream			
あいあ	AiaAmare	人名	人名	人名	upstream			
あまれ	AiaAmare	人名	人名	人名	upstream			
あいらにいおふぃふてぃーん	AiraniIofifteen	人名	人名	人名	upstream			
あいらに	AiraniIofifteen	人名	人名	人名	upstream			
あるばーんのっくす	AlbanKnox	人名	人名	人名	upstream			
あるばーん	AlbanKnox	人名	人名	人名	upstream			
のっくす	AlbanKnox	人名	人名	人名	upstream			
あると	Alt!!	人名	人名	人名	upstream			
ある	ALU	人名	人名	人名	upstream			
あまつか	aMatsuka	人名	人名	人名	upstream			
あみしあみしぇら	AmiciaMichella	人名	人名	人名	upstream			
あみしあ	AmiciaMichella	人名	人名	人名	upstream			
あみやまと	AmiYamato	人名	人名	人名	upstream			
やまと	AmiYamato	人名	人名	人名	upstream			
あみ	AmiYamato	人名	人名	人名	upstream			
あにぷれ	ANIPLEX	名詞	名詞	名詞	upstream			
あのん	ANON	人名	人名	人名	upstream			
あーにゃめるふぃっさ	AnyaMelfissa	人名	人名	人名	upstream			
あーにゃ	AnyaMelfissa	人名	人名	人名	upstream			
あるこ	ARu子	人名	人名	人名	upstream			
あすたーあるかでぃあ	AsterArcadia	人名	人名	人名	upstream			
あすたー	AsterArcadia	人名	人名	人名	upstream			
あばたー２	AVATAR2.0	人名	人名	人名	upstream			
あゆんだりす	AyundaRisu	人名	人名	人名	upstream			
あずき	AZKi	人名	人名	人名	upstream			
あずらせしりあ	AzuraCecillia	人名	人名	人名	upstream			
あずら	AzuraCecillia	人名	人名	人名	upstream			
ゆうじんえー	Aちゃん	人名	人名	人名	upstream			
ばるす	Balus	名詞	名詞	名詞	upstream			
ばんはだ	BanHada	人名	人名	人名	upstream			
ばんちゅう	BANチュウ	人名	人名	人名	upstream			
ぼむさっぷえいむ	BobSappAim	人名	人名	人名	upstream			
えいむ	BobSappAim	人名	人名	人名	upstream			
ぼんにふぃえーるぷらなじゃ	BonnivierPranaja	人名	人名	人名	upstream			
ぼんにふぃえーる	BonnivierPranaja	人名	人名	人名	upstream			
ぼくすばー	BOXBAR	人名	人名	人名	upstream			
せしりあ	Cecilia	人名	人名	人名	upstream			
せしりあいまーぐりーん	CeciliaImmergreen	人名	人名	人名	upstream			
せしりあ	CeciliaImmergreen	人名	人名	人名	upstream			
せれすふぁうな	CeresFauna	人名	人名	人名	upstream			
ふぁうな	CeresFauna	人名	人名	人名	upstream			
ちょい	CHOY	人名	人名	人名	upstream			
くろーどくろーまーく	ClaudeClawmark	人名	人名	人名	upstream			
くろーど	ClaudeClawmark	人名	人名	人名	upstream			
くらすたー	cluster	人名	人名	人名	upstream			
こむどすと	comdost	人名	人名	人名	upstream			
さいばーぶい	CyberV	人名	人名	人名	upstream			
だば	Daba	人名	人名	人名	upstream			
だんてずぴーく	Dante'sPeak	人名	人名	人名	upstream			
だんて	Dante'sPeak	人名	人名	人名	upstream			
DWU	DeepWebUnderground	短縮よみ	短縮よみ	名詞	upstream			
あさせ	DeepWebUnderground	短縮よみ	短縮よみ	名詞	upstream			
どぅ	DeepWebUnderground	短縮よみ	短縮よみ	名詞	upstream			
でれむかど	DeremKado	人名	人名	人名	upstream			
でれむ	DeremKado	人名	人名	人名	upstream			
かど	DeremKado	人名	人名	人名	upstream			
りお	DJRIO	人名	人名	人名	upstream			
しゃーぷねる	DJSHARPNEL	人名	人名	人名	upstream			
どるふぃん	DOLPHIN	人名	人名	人名	upstream			
どっぴおどろっぷさいと	DoppioDropscythe	人名	人名	人名	upstream			
どっぴお	DoppioDropscythe	人名	人名	人名	upstream			
どくたー	Dr.博士	人名	人名	人名	upstream			
はかせ	Dr.博士	人名	人名	人名	upstream			
えりーらぺんどら	EliraPendora	人名	人名	人名	upstream			
えりーら	EliraPendora	人名	人名	人名	upstream			
えりざべすろーずぶらっどふれいむ	ElizabethRoseBloodflame	人名	人名	人名	upstream			
えりざべす	ElizabethRoseBloodflame	人名	人名	人名	upstream			
えみりあな	Emiliana	人名	人名	人名	upstream			
みなみ	EmmaHazyMinami	人名	人名	人名	upstream			
えま	EmmaHazyMinami	人名	人名	人名	upstream			
えな	ENA	人名	人名	人名	upstream			
えなーあーるうぇっと	EnnaAlouette	人名	人名	人名	upstream			
えなー	EnnaAlouette	人名	人名	人名	upstream			
えんたむ	ENTUM	名詞	名詞	名詞	upstream			
えとなくりむそん	EtnaCrimson	人名	人名	人名	upstream			
えとな	EtnaCrimson	人名	人名	人名	upstream			
いぶ	Eve	人名	人名	人名	upstream			
いゔ	Eve	人名	人名	人名	upstream			
てんしりか	天使りか	人名	人名	人名	upstream			
りか	天使りか	人名	人名	人名	upstream			
ふぇありす	fairys	人名	人名	人名	upstream			
ふぃくてぃ	Ficty	人名	人名	人名	upstream			
ふぃなーなりゅうぐう	FinanaRyugu	人名	人名	人名	upstream			
ふぃなーな	FinanaRyugu	人名	人名	人名	upstream			
ふりおどーる	Freodore	人名	人名	人名	upstream			
ふぁるがーおーゔぃど	FulgurOvid	人名	人名	人名	upstream			
ふぁるがー	FulgurOvid	人名	人名	人名	upstream			
ふわわあびすがーど	FuwawaAbyssgard	人名	人名	人名	upstream			
ふわわ	FuwawaAbyssgard	人名	人名	人名	upstream			
がおん	GAON	人名	人名	人名	upstream			
がーでん	Garden	人名	人名	人名	upstream			
がうるぐら	GawrGura	人名	人名	人名	upstream			
ぐら	GawrGura	人名	人名	人名	upstream			
じじむりん	GigiMurin	人名	人名	人名	upstream			
じじ	GigiMurin	人名	人名	人名	upstream			
はち	HACHI	人名	人名	人名	upstream			
はこすべーるず	HakosBaelz	人名	人名	人名	upstream			
べーるず	HakosBaelz	人名	人名	人名	upstream			
はこす	HakosBaelz	人名	人名	人名	upstream			
はく	Haku	人名	人名	人名	upstream			
はなまきあ	HanaMacchia	人名	人名	人名	upstream			
はな	HanaMacchia	人名	人名	人名	upstream			
はゆん	HaYun	人名	人名	人名	upstream			
